id,name,address,city,state,zip,phone,webaddress,weiss,weissrank,demotech,demotechrank,ambest,ambestrank,policycount,policycount_display,q4_2013_policycount,q1_2014_policycount,q2_2014_policycount,q3_2014_policycount,q4_2014_policycount,q1_2015_policycount,q2_2015_policycount,q3_2015_policycount,q4_2015_policycount,q1_2016_policycount,q2_2016_policycount,q3_2016_policycount,q4_2016_policycount,q1_2017_policycount,q2_2017_policycount,q3_2017_policycount,q4_2017_policycount,q1_2018_policycount,q2_2018_policycount,q3_2018_policycount,2yrpolicytotal,total_complaints_display,total_complaints,total_2013_complaintcount,total_2014_complaintcount,total_2015_complaintcount,total_2016_complaintcount,total_2017_complaintcount,total_2018_complaintcount,complaints_per_10k,complaintpercentile,complaintpercentilegroup,isincomplete,longloss,shortloss
159,Ace American Insurance Co.,"Judith M. Calihan, 436 Walnut Street,",Philadelphia,PA,19106,215-640-4555,http://www.acegroup.com,NR,16,NR,7,A++,1,5,5,8,8,6,6,8,6,4,3,3,2,4,4,3,3,5,4,4,4,4,5,4,0,0,0,0,0,0,0,0,-,,0,f,,
160,Amerisure Partners Insurance Co.,26777 Halsted Road,Farmington Hills,MI,48331-3586,248-615-9000 Ext 585,http://www.amerisure.com,NR,16,NR,7,NR,33,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,6,5,1.875,0,0,0,0,0,0,0,0,-,,0,f,,
161,Continental Insurance Co.,333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,NR,16,NR,7,A,5,5,5,3,2,2,3,2,2,2,3,3,2,3,4,3,5,4,3,3,4,5,5,4,0,0,0,0,0,0,0,0,-,,0,f,,
162,Valley Forge Insurance Co.,333 S. Wabash Ave,Chicago,IL,60604,312-822-3955,http://www.cna.com,C,8,NR,7,A,5,5,5,1,1,0,1,1,0,2,1,1,0,1,1,1,1,1,1,2,2,4,5,2.125,0,0,0,0,0,0,0,0,-,,0,f,,
163,American Alternative Insurance Corp.,555 College Road East - P.O. Box 5241,Princeton,NJ,08543,609-243-4757,http://www.munichreamerica.com,NR,16,NR,7,A+,3,3,3,8,8,6,7,8,6,7,3,3,3,5,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,-,,0,f,,
164,Berkshire Hathaway Specialty Insurance Co.,3024 Harney Street,Omaha,NE,68131-3580,866-720-7861,http://www.nationalindemnity.com,NR,16,NR,7,NR,33,3,3,0,0,0,0,0,0,0,0,0,2,4,9,9,10,10,9,9,9,7,3,8.25,0,0,0,0,0,0,0,0,-,,0,f,,
165,General Insurance Co. Of America,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.libertymutualgroup.com,C,8,NR,7,A,5,3,3,17,17,14,14,17,14,9,11,11,10,7,7,7,6,6,6,6,5,5,3,5.5,0,0,0,0,0,0,0,0,-,,0,f,,
166,American Agri-Business Insurance Co.,7101 82Nd Street,Lubbock,TX,79424,806-473-0333,http://www.armt.com,NR,16,NR,7,A+,3,2,2,4,4,4,5,4,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1.75,0,0,0,0,0,0,0,0,-,,0,f,,
167,American Economy Insurance Co.,"1001 Fourth Avenue, Safeco Plaza",Seattle,WA,98154,617-357-9500,http://www.safeco.com,NR,16,NR,7,A,5,2,2,4,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,1,0,0,-,,0,f,,
168,American Insurance Co. (The),"225 W. Washington Street, Suite 1800",Chicago,IL,60606-3484,312-224-3371,http://www.firemansfund.com,NR,16,NR,7,A+,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.625,0,0,0,0,0,0,0,0,-,,0,f,,
169,Arch Insurance Co.,300 Plaza Three,Jersey City,NJ,07311-1107,201-743-4000,http://www.archinsurance.com,NR,16,NR,7,A+,3,2,2,16,8,7,8,8,7,14,27,3,5,3,8,0,0,0,2,2,2,2,2,1.25,0,0,0,0,0,0,0,0,-,,0,f,,
170,Century-National Insurance Co.,16650 Sherman Way,Van Nuys,CA,91406,818-760-0880-2296,http://www.cnico.com,C-,9,NR,7,A-,7,2,2,4,4,4,2,4,4,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2.125,0,0,0,0,0,0,0,0,-,,0,f,54.8%,27.2%
171,Mitsui Sumitomo Insurance USA,15 Independence Blvd,Warren,NJ,07059-0602,908-604-2900,http://www.msigusa.com,NR,16,NR,7,A+,3,2,2,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,-,,0,f,,
172,Twin City Fire Insurance Co.,200 Hopmeadow Street,Simsbury,CT,06089-9793,800-451-6944,http://www.thehartford.com,B,5,NR,7,A+,3,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2.5,0,0,0,0,0,0,0,0,-,,0,f,58.4%,58.1%
173,Fireman's Fund Insurance Co.,"225 W. Washington Street, Suite 1800",Chicago,IL,60606-3484,312-224-3371,http://www.firemansfund.com,NR,16,NR,7,A+,3,1,1,7600,7511,7327,7238,7511,7327,6457,6181,4743,3117,1349,27,0,1,1,1,1,1,1,1,0.875,0,0,4,0,0,0,0,0,-,,0,f,,
174,Mitsui Sumitomo Insurance Co. Of America,15 Independence Blvd,Warren,NJ,07059-0602,908-604-2900,http://www.msigusa.com,NR,16,NR,7,A+,3,1,1,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-,,0,f,,
175,Safeco Insurance Co. of America,175 Berkeley Street,Boston,MA,02116,617-357-9500,http://www.safeco.com,NR,16,NR,7,NR,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,1,1,0,0,0,1,0,0,-,,0,f,,
176,Selective Insurance Co. Of The Southeast,40 Wantage Avenue,Branchville,NJ,07890,973-948-1311,http://www.selective.com,B,5,NR,7,A,5,1,1,5,5,5,5,5,5,5,5,5,6,5,5,4,4,0,0,0,0,1,1,1.25,0,0,0,0,0,0,0,0,-,,0,f,,
177,St. Paul Mercury Insurance Co.,"One Tower Square, 5 Ms",Hartford,CT,06183,860-277-1561,http://www.travelers.com,B-,6,NR,7,NR,33,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1.75,0,0,0,0,0,0,0,0,-,,0,f,,
178,United States Fire Insurance Co.,305 Madison Avenue,Morristown,NJ,07962,973-490-6958,http://www.cfins.com,C,8,NR,7,A,5,1,1,0,0,0,0,0,0,18,18,19,18,19,21,21,20,13,11,9,4,1,1,10,0,0,0,0,0,0,0,0,-,,0,f,,
179,Zurich American Insurance Co.,1400 American Lane,Schaumburg,IL,60196-1056,847-605-6201,http://www.zurichna.com,B-,6,NR,7,A+,3,1,1,1,2,4,3,2,4,2,0,0,1,0,0,0,0,1,1,1,2,1,1,0.875,0,0,0,0,0,0,0,0,-,,0,f,,
180,Fidelity And Deposit Co. Of Maryland,1400 American Lane,Schaumburg,IL,60196-1056,847-605-6201,http://www.zurichna.com,NR,16,NR,7,A+,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,0,f,,
181,Horace Mann Insurance Co.,#1 Horace Mann Plaza,Springfield,IL,62715,800-999-1030,http://www.horacemann.com,NR,16,NR,7,A,5,0,0,387,380,356,259,380,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,-,,0,f,,
